event_count,system,n,median_storage_bytes,median_storage_mb,median_bytes_per_event,mean_storage_mb,std_storage_mb,median_load_time_ms,mean_load_time_ms,std_load_time_ms,median_events_per_second
10000,janus,35,252248.000,0.240562,25.224800,0.240562,0.000000,51.802,50.897,4.098,193044.364452
10000,oxigraph,35,3473672.000,3.312752,347.367200,3.313136,0.001716,500.528,506.989,18.939,19978.893857
50000,janus,35,1222248.000,1.165627,24.444960,1.165627,0.000000,79.752,79.111,5.487,626941.308087
50000,oxigraph,35,16642362.000,15.871393,332.847240,15.871361,0.008906,924.402,953.774,78.602,54089.045866
100000,janus,35,2434744.000,2.321953,24.347440,2.321953,0.000000,108.703,112.646,8.175,919936.720497
100000,oxigraph,35,32837450.000,31.316233,328.374500,31.316041,0.004180,1597.962,1606.067,18.309,62579.717564
1000000,janus,35,24259816.000,23.135963,24.259816,23.135963,0.000000,943.210,944.442,27.621,1060209.433687
1000000,oxigraph,35,317541556.000,302.831226,317.541556,302.831121,0.027692,8276.209,8225.581,120.980,120828.263396
10000000,janus,35,242510536.000,231.276070,24.251054,231.276070,0.000000,9320.656,9339.093,144.351,1072885.897710
10000000,oxigraph,35,6527225536.000,6224.847351,652.722554,6222.389292,4.241075,63599.933,63486.296,956.913,157232.871223
