dataset_size_quads,event_rate_per_sec,run,write_ms,hist_retrieval_ms,live_window_ms,comparator_ms,total_ms
50000,50,1,0.00,61.08,1.26,0.00,62.34
50000,50,2,0.00,59.07,1.27,0.00,60.34
50000,50,3,0.00,58.44,1.27,0.00,59.71
50000,50,4,0.00,59.42,1.27,0.00,60.70
50000,50,5,0.00,57.24,1.27,0.00,58.51
50000,50,6,0.00,57.39,1.27,0.00,58.66
50000,50,7,0.00,57.50,1.27,0.00,58.78
50000,50,8,0.00,57.59,1.27,0.00,58.86
50000,50,9,0.00,56.63,1.27,0.00,57.90
50000,50,10,0.00,56.37,1.27,0.00,57.65
50000,50,11,0.00,57.00,1.26,0.00,58.26
50000,50,12,0.00,57.90,1.26,0.00,59.16
50000,50,13,0.00,56.79,1.27,0.00,58.06
50000,50,14,0.00,56.43,1.27,0.00,57.71
50000,50,15,0.00,56.61,1.27,0.00,57.89
50000,50,16,0.00,57.12,1.27,0.00,58.38
50000,50,17,0.00,56.99,1.28,0.00,58.27
50000,50,18,0.00,56.58,1.28,0.00,57.86
50000,50,19,0.00,56.65,1.27,0.00,57.92
50000,50,20,0.00,57.08,1.27,0.00,58.35
50000,50,21,0.00,57.70,1.27,0.00,58.97
50000,50,22,0.00,56.68,1.27,0.00,57.96
50000,50,23,0.00,56.85,1.27,0.00,58.12
50000,50,24,0.00,56.91,1.26,0.00,58.17
50000,50,25,0.00,56.83,1.27,0.00,58.11
50000,50,26,0.00,56.64,1.27,0.00,57.92
50000,50,27,0.00,57.60,1.27,0.00,58.87
50000,50,28,0.00,57.10,1.27,0.00,58.37
50000,50,29,0.00,56.75,1.27,0.00,58.02
50000,50,30,0.00,56.86,1.27,0.00,58.13
50000,100,1,0.00,57.39,1.28,0.00,58.67
50000,100,2,0.00,57.14,1.27,0.00,58.41
50000,100,3,0.00,57.02,1.27,0.00,58.29
50000,100,4,0.00,56.96,1.27,0.00,58.23
50000,100,5,0.00,57.38,1.27,0.00,58.65
50000,100,6,0.00,57.08,1.28,0.00,58.36
50000,100,7,0.00,56.65,1.27,0.00,57.93
50000,100,8,0.00,56.99,1.27,0.00,58.26
50000,100,9,0.00,56.67,1.27,0.00,57.95
50000,100,10,0.00,57.04,1.27,0.00,58.32
50000,100,11,0.00,56.64,1.27,0.00,57.91
50000,100,12,0.00,57.81,1.26,0.00,59.07
50000,100,13,0.00,56.62,1.27,0.00,57.89
50000,100,14,0.00,60.45,1.26,0.00,61.72
50000,100,15,0.00,60.27,1.26,0.00,61.53
50000,100,16,0.00,57.83,1.25,0.00,59.08
